25,6,40,21,48
33,13,5,43,4
7,0,25,4,19
40,6,10,27,59
1,5,16,31,4
19,13,79,17,58
5,19,13,62,20
0,33,17,77,85
1,23,7,33,65
0,25,13,34,31
1,25,48,34,14
23,7,17,27,72
25,17,6,19,12
1,7,13,45,51
19,6,10,8,93
1,13,47,34,23
57,33,61,69,22
0,73,17,58,45
1,5,40,16,34
19,13,79,37,59
12,19,33,17,62
57,6,21,79,65
0,21,25,47,73
19,23,10,6,9
11,25,17,58,81
21,15,1,22,43
0,63,6,5,20
7,8,23,1,16
33,11,17,3,79
21,15,13,1,65
7,27,10,48,35
0,19,21,20,17
27,12,15,17,85
7,21,8,61,33
6,33,53,15,30
19,51,12,25,3
33,12,23,4,48
51,17,68,45,6
25,5,17,6,11
1,37,4,46,36
0,7,61,30,40
57,6,10,39,60
13,1,4,72,16
0,23,10,8,40
0,7,27,30,63
5,12,10,20,69
1,5,27,17,14
7,25,33,8,62
0,10,7,21,13
19,33,79,17,6
57,25,6,17,56
5,33,13,61,7
57,6,48,12,68
17,0,11,27,34
57,23,27,59,55
6,5,13,61,30
10,13,59,61,23
0,57,27,5,15
5,13,17,68,56
1,23,27,30,4
0,13,10,8,41
1,5,27,17,35
5,57,10,12,68
0,13,16,53,47
5,6,11,47,68
23,7,33,17,91
57,13,1,8,14
19,68,61,10,34
33,1,21,22,65
6,17,5,20,11
1,33,10,27,26
25,5,11,30,13
5,12,10,55,31
40,0,66,48,44
5,57,12,10,68
25,1,13,92,48
6,11,27,5,4
23,7,17,1,13
7,57,10,39,1
0,5,73,17,58
0,17,21,60,44
33,5,6,10,61
40,5,16,39,56
1,10,6,31,59
19,7,40,27,86
12,10,13,59,4
57,27,12,10,39
17,13,5,23,56
7,6,23,17,76
19,42,53,13,59
23,7,11,5,13
21,10,15,1,20
57,6,80,50,10
0,33,28,48,63
7,23,40,2,47
57,1,20,13,53
6,19,1,20,17
57,7,5,9,61
5,19,6,10,36
1,7,20,46,34
0,10,12,17,81
57,5,23,33,11
0,25,5,17,10
33,19,11,8,3
13,5,100,11,17
1,7,72,4,16
19,6,25,56,45
7,23,13,79,53
40,12,16,17,45
0,5,10,21,83
7,33,37,8,18
0,6,25,53,34
0,5,33,17,88
57,12,68,43,38
5,16,19,10,11
40,12,33,59,43
13,10,59,30,43
0,19,6,73,5
19,6,15,62,45
13,1,5,37,39
25,5,12,17,59
0,7,13,10,32
7,13,6,63,22
23,10,25,46,4
12,5,7,79,54
57,1,23,6,47
15,33,53,93,17
7,25,6,45,38
57,13,25,43,34
12,33,48,16,17
7,6,59,82,56
17,13,21,11,25
0,23,8,25,39
7,59,12,37,79
7,6,5,23,15
57,25,13,12,41
7,6,25,72,53
5,12,23,17,37
0,5,23,17,25
57,13,10,6,48
57,1,23,25,34
5,13,10,30,38
33,5,11,21,48
1,7,27,51,49
12,17,11,37,59
5,27,1,39,25
23,5,39,15,34
13,1,10,8,48
33,25,19,38,41
57,27,77,17,51
12,10,6,59,83
57,23,11,13,30
0,10,37,13,19
57,25,17,6,60
6,13,82,5,63
57,12,9,33,30
7,6,33,61,45
57,1,20,22,50
23,54,33,34,30
6,10,8,12,15
6,5,12,23,63
33,53,1,4,88
7,48,5,9,96
25,19,0,21,65
7,33,66,72,83
57,9,12,8,63
19,7,25,23,61
0,17,10,71,65
19,12,49,28,27
7,48,6,72,15
17,27,12,10,65
23,13,39,32,56
0,13,17,59,10
12,11,25,34,53
13,25,19,12,17
7,33,1,8,27
10,12,17,13,85
57,5,23,16,48
1,25,5,16,83
0,10,13,47,39
7,6,11,33,41
57,23,25,51,49
7,19,13,51,47
48,21,10,39,53
25,13,72,47,4
6,17,33,5,10
0,13,2,61,22
1,57,9,17,58
1,5,6,19,68
23,7,16,30,72
0,7,10,48,25
23,19,13,65,73
7,6,48,11,10
19,1,25,13,34
5,6,12,56,72
57,53,13,20,76
17,6,10,8,39
57,13,12,34,25
7,1,27,23,17
48,33,13,63,34
0,10,85,54,55
7,19,16,33,62
19,6,5,18,51
7,23,27,72,4
12,19,6,10,78
0,57,11,13,47
57,17,6,10,77
7,1,61,25,22
5,25,33,18,30
1,17,10,48,46
7,6,16,56,72
57,12,13,11,47
0,13,25,17,19
7,6,11,8,60
19,6,48,27,12
1,17,60,21,53
49,28,17,77,51
0,80,74,47,86
7,40,13,33,92
0,5,27,47,51
19,5,27,15,11
